Title,Latitude,Longitude,categories,Info Title,Title Place,hashes,score,userScore,heart,title,category,address,roadAddress,mapx,mapy
서울콩나물해장국,37.520763,126.926944, 콩나물국밥,서울콩나물해장국,여의도 ,"해장,친환경, 아침식사",32,0.0,1,<b>서울콩나물해장국</b>,한식>해장국,서울특별시 영등포구 여의도동 36-2 여의도백화점 B1,서울특별시 영등포구 국제금융로6길 33 여의도백화점 B1,1269269444,375207631
문학골찹쌀순대 여의도점,37.522178,126.919944," 순댓국, 찹쌀순대",문학골찹쌀순대 여의도점,여의도 ,"해장,국내산, 아침식사, 점심식사",0,0.0,0,<b>문학골찹쌀순대 여의도점</b>,"한식>순대,순댓국",서울특별시 영등포구 여의도동 28-1 전경련회관지하1층,서울특별시 영등포구 여의대로 24 전경련회관지하1층,1269199440,375221784
별미볶음점,37.520795,126.926931," 제육, 제육볶음",별미볶음점,여의도 ,"다코숨은맛집, 식사모임,서민적인, 점심식사, 저녁식사",76,4.4,136,<b>별미볶음점</b>,음식점>한식,서울특별시 영등포구 여의도동 36-2 여의도백화점 지하 1층,서울특별시 영등포구 국제금융로6길 33 여의도백화점 지하 1층,1269269308,375207952
소문난식당,37.516196,126.889882," 묵은지, 고등어김치찜",소문난식당,문래동 ,"다코숨은맛집, 혼밥,서민적인, 점심식사, 좌식",72,4.6,144,<b>소문난식당</b>,음식점>한식,서울특별시 영등포구 문래동4가,서울특별시 영등포구 도림로141가길 32-1,1268898819,375161960
화목순대국,37.519401,126.931659," 순대국, 내장탕",화목순대국,여의도 ,"다코숨은맛집, 혼밥,서민적인, 점심식사, 저녁식사",64,4.1,112,<b>화목순대국</b>,"한식>순대,순댓국",서울특별시 영등포구 여의도동 44-14 1F (경도상가 1층),서울특별시 영등포구 여의대방로 383 1F (경도상가 1층),1269316586,375194005
오복순대국,37.515724,126.891587," 순대, 순대국",오복순대국,문래역 ,"술모임,서민적인, 점심식사, 저녁식사",64,3.9,52,<b>오복순대국</b>,"한식>순대,순댓국",서울특별시 영등포구 문래동4가 6-5,서울특별시 영등포구 도림로 465,1268915868,375157242
영원식당,37.526378,126.931082," 수제비, 감자전",영원식당,여의도 ,"식객허영만의백반기행, 식신로드, 밥블레스유, 술모임,서민적인, 점심식사, 저녁식사, 좌식테이블",63,4.0,77,<b>영원식당</b>,"한식>칼국수,만두",서울특별시 영등포구 여의도동 21-3 서울 상가 2층,서울특별시 영등포구 여의나루로 117 서울 상가 2층,1269310822,375263781
이조보쌈,37.534965,126.903111," 오징어보쌈, 보쌈",이조보쌈,당산역 ,"다코숨은맛집, 술모임,서민적인, 점심식사, 저녁식사",57,3.7,214,<b>이조보쌈</b>,"한식>족발,보쌈",서울특별시 영등포구 당산동6가 295,서울특별시 영등포구 당산로 244,1269031110,375349650
선비네,37.521141,126.90595, 닭볶음탕,선비네,영등포시장 ,"술모임,서민적인, 점심식사, 저녁식사",57,4.6,7,<b>선비네</b>,한식>닭요리,서울특별시 영등포구 영등포동5가 42-10,서울특별시 영등포구 영중로20길 4,1269059577,375210935
문래옥,37.52133,126.886792," 소고기, 된장찌개",문래옥,문래동 ,"식신로드, 회식,지역주민이찾는, 점심식사, 저녁식사, 좌식",57,5.0,18,<b>문래옥</b>,음식점>한식,"서울특별시 영등포구 문래동6가 29-1 28,","서울특별시 영등포구 선유로17길 29 28,",1268867916,375213305
